product_name,rating,total_ratings,total_reviews,image_URL,page_URL,description,tag_list
Printed Women Hooded Neck Pink T-Shirt,4.1,140,17,https://rukminim1.flixcart.com/image/309/371/k0vbgy80/t-shirt/y/s/h/l-grl-crop-attitude-hood-pnk-323-acomharc-original-imafkk9yfrzvccyg.jpeg?q=50,www.flipkart.com/acomharc-printed-women-hooded-neck-pink-t-shirt/p/itm4ba26bbf4f045?pid=TSHFKJT7MNETKNZY&amp;lid=LSTTSHFKJT7MNETKNZYJX6QPK&amp;marketplace=FLIPKART&amp;srno=s_1_11&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHFKJT7MNETKNZY.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,Printed Women Hooded Neck Pink T-Shirt,
Solid Women Round Neck Dark Blue T-Shirt,4.0,2641,385,https://rukminim1.flixcart.com/image/309/371/t-shirt/m/d/f/ap-wm-rn-longslv-239-navy-ap-pulse-l-original-imaeduw6nugfsu8y.jpeg?q=50,www.flipkart.com/ap-pulse-solid-women-round-neck-dark-blue-t-shirt/p/itmez5d8gsnqvmzg?pid=TSHEDVYWCNY6CXY9&amp;lid=LSTTSHEDVYWCNY6CXY9ENL7YH&amp;marketplace=FLIPKART&amp;srno=s_1_12&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHEDVYWCNY6CXY9.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,Solid Women Round Neck Dark Blue T-Shirt,
Color Block Women Hooded Neck Black T-Shirt,3.9,1605,199,https://rukminim1.flixcart.com/image/309/371/ju8oxow0/t-shirt/x/f/4/xs-grlblkdgry313-acomharc-original-imaffepa6y2x5ngs.jpeg?q=50,www.flipkart.com/acomharc-color-block-women-hooded-neck-black-t-shirt/p/itmfhf67uyp5g2bv?pid=TSHFFEZ7HZJCAYGN&amp;lid=LSTTSHFFEZ7HZJCAYGNOSDJLJ&amp;marketplace=FLIPKART&amp;srno=s_1_13&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHFFEZ7HZJCAYGN.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,Color Block Women Hooded Neck Black T-Shirt,
"Solid Men s Red, White, Black T-Shirt",4.2,2224,293,https://rukminim1.flixcart.com/image/309/371/kctf0cw0/t-shirt/e/v/g/s-men-fw18-hood-fs-white-black-red-maniac-original-imaftuwfgucgsrt7.jpeg?q=50,www.flipkart.com/maniac-solid-men-s-red-white-black-t-shirt/p/itmfc5ckdqswgavz?pid=TSHFC22GUFHX7639&amp;lid=LSTTSHFC22GUFHX7639FHBOQR&amp;marketplace=FLIPKART&amp;srno=s_1_14&amp;otracker=search&amp;fm=organic&amp;iid=en_c6E91TE7PROo%2Fc0Gdfjxfg2JxZ3l%2FUtIFAU2FNcbt7bT6rUD%2F28XRepAnjxUmPqQD1qBCvLBhyXiHh7m9j4Bgw%3D%3D&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,"Solid Men s Red, White, Black T-Shirt",
Printed Women Hooded Neck Pink T-Shirt,4.1,140,17,https://rukminim1.flixcart.com/image/309/371/k0wqwsw0/t-shirt/t/g/j/xl-grl-hood-pnk-325-acomharc-original-imafkhhvygahgzvn.jpeg?q=50,www.flipkart.com/acomharc-printed-women-hooded-neck-pink-t-shirt/p/itm8e327821e32b9?pid=TSHFKJHKDDZK7KGB&amp;lid=LSTTSHFKJHKDDZK7KGBRSXAQV&amp;marketplace=FLIPKART&amp;srno=s_1_15&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHFKJHKDDZK7KGB.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,Printed Women Hooded Neck Pink T-Shirt,
Graphic Print Men & Women Round Neck White T-Shirt,4.0,4,1,https://rukminim1.flixcart.com/image/309/371/k3orqfk0/t-shirt/3/z/z/m-1506-galaxy-creations-original-imafhyesvgthaefh.jpeg?q=50,www.flipkart.com/nityanand-creations-graphic-print-men-women-round-neck-white-t-shirt/p/itm3d4c9cdfddad9?pid=TSHFHYBWBZJ5RJZ7&amp;lid=LSTTSHFHYBWBZJ5RJZ7WFT22T&amp;marketplace=FLIPKART&amp;srno=s_1_16&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHFHYBWBZJ5RJZ7.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,Graphic Print Men & Women Round Neck White T-Shirt,
"Striped Men Round Neck White, Blue T-Shirt",4.0,28486,3651,https://rukminim1.flixcart.com/image/309/371/k40798w0/t-shirt/m/j/h/xxl-4070-xxl-fastcolors-original-imafnyyh8cvzbyep.jpeg?q=50,www.flipkart.com/fastcolors-striped-men-round-neck-white-blue-t-shirt/p/itm275e9bcd74423?pid=TSHFDNCNYGCRBUTP&amp;lid=LSTTSHFDNCNYGCRBUTP4MJZNS&amp;marketplace=FLIPKART&amp;srno=s_1_17&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHFDNCNYGCRBUTP.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,"Striped Men Round Neck White, Blue T-Shirt",
Printed Men Round Neck White T-Shirt,3.8,1598,190,https://rukminim1.flixcart.com/image/309/371/jksm4y80/t-shirt/d/x/v/m-gd0459-gdshop-original-imaf7x7dxfxw533n.jpeg?q=50,www.flipkart.com/avni-s-printed-men-round-neck-white-t-shirt/p/itmf8ffmfnzcgrj2?pid=TSHF7XA7SEP373TG&amp;lid=LSTTSHF7XA7SEP373TGBTIR6U&amp;marketplace=FLIPKART&amp;srno=s_1_18&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHF7XA7SEP373TG.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,Printed Men Round Neck White T-Shirt,
Solid Men Hooded Neck Black T-Shirt,3.8,2598,266,https://rukminim1.flixcart.com/image/309/371/jzd0qkw0/t-shirt/u/2/x/m-ke-hoodie-full-black-2119-s-rebound-original-imafh7jpxtpzyudj.jpeg?q=50,www.flipkart.com/rebound-solid-men-hooded-neck-black-t-shirt/p/itm031697f46387a?pid=TSHFJEGRMKPZEU2X&amp;lid=LSTTSHFJEGRMKPZEU2XNG728G&amp;marketplace=FLIPKART&amp;srno=s_1_19&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHFJEGRMKPZEU2X.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,Solid Men Hooded Neck Black T-Shirt,
"Solid Men Mandarin Collar White, Black T-Shirt",4.0,7036,902,https://rukminim1.flixcart.com/image/309/371/k868how0/t-shirt/g/e/f/xl-4058-fastcolors-original-imafq9fnzbyr723w.jpeg?q=50,www.flipkart.com/fastcolors-solid-men-mandarin-collar-white-black-t-shirt/p/itm3abe1e4d09856?pid=TSHFBQHVZMHDRDKW&amp;lid=LSTTSHFBQHVZMHDRDKWJ79H21&amp;marketplace=FLIPKART&amp;srno=s_1_20&amp;otracker=search&amp;fm=organic&amp;iid=en_c6E91TE7PROo%2Fc0Gdfjxfg2JxZ3l%2FUtIFAU2FNcbt7b2NmQAnDdLJTzzUlXfA081SIBCreFgt87Ya4qKzUwkcw%3D%3D&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,"Solid Men Mandarin Collar White, Black T-Shirt",
