product_name,rating,total_ratings,total_reviews,image_URL,page_URL,description,tag_list
"Color Block Women Hooded Neck Maroon, Black T-Shirt",3.9,1605,199,https://rukminim1.flixcart.com/image/309/371/ju8oxow0/t-shirt/b/s/c/s-grlmrnblue313-acomharc-original-imaffepaq8pahwhk.jpeg?q=50,www.flipkart.com/acomharc-color-block-women-hooded-neck-maroon-black-t-shirt/p/itmfhf67vzdyvy9d?pid=TSHFFEZ7PJ3KFBSC&amp;lid=LSTTSHFFEZ7PJ3KFBSC44FRU4&amp;marketplace=FLIPKART&amp;srno=s_1_31&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHFFEZ7PJ3KFBSC.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,"Color Block Women Hooded Neck Maroon, Black T-Shirt",
"Printed, Striped Men & Women V-neck White, Black T-Shir...",3.4,213,24,https://rukminim1.flixcart.com/image/309/371/jkebqfk0/t-shirt/z/r/z/l-me-2018-19-jersey-r-sportigo-original-imaf7qjkq8fhtajp.jpeg?q=50,www.flipkart.com/sportigo-printed-striped-men-women-v-neck-white-black-t-shirt/p/itmf7rehsgeardhz?pid=TSHF7R3PW6PZCZRZ&amp;lid=LSTTSHF7R3PW6PZCZRZZ7EN2E&amp;marketplace=FLIPKART&amp;srno=s_1_32&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHF7R3PW6PZCZRZ.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,"Printed, Striped Men & Women V-neck White, Black T-Shir...",
Color Block Men V-neck Maroon T-Shirt,4.0,9836,1158,https://rukminim1.flixcart.com/image/309/371/k4bms280/t-shirt/5/b/t/m-11-v-neck-try-this-original-imaf969m4due9wbm.jpeg?q=50,www.flipkart.com/try-color-block-men-v-neck-maroon-t-shirt/p/itmf922zddbnaswt?pid=TSHF9FZZYKBAKPKD&amp;lid=LSTTSHF9FZZYKBAKPKD51ZWGP&amp;marketplace=FLIPKART&amp;srno=s_1_33&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHF9FZZYKBAKPKD.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,Color Block Men V-neck Maroon T-Shirt,
Solid Men V Neck Blue T-Shirt,4.3,104,9,https://rukminim1.flixcart.com/image/309/371/k66sh3k0/t-shirt/f/s/4/m-17076-0045-levi-s-original-imafzzvvhryan2am.jpeg?q=50,www.flipkart.com/levi-s-solid-men-v-neck-blue-t-shirt/p/itm7b1f5ef3f9a59?pid=TSHFNF7HQMF3TNHZ&amp;lid=LSTTSHFNF7HQMF3TNHZQT921R&amp;marketplace=FLIPKART&amp;srno=s_1_34&amp;otracker=search&amp;fm=organic&amp;iid=en_c6E91TE7PROo%2Fc0Gdfjxfg2JxZ3l%2FUtIFAU2FNcbt7YiuQyvpvaxJ2EscZ0c1EhUsbMgpx%2FiaruznXi4i53Waw%3D%3D&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,Solid Men V Neck Blue T-Shirt,
Striped Men Hooded Neck Maroon T-Shirt,4.0,96576,12859,https://rukminim1.flixcart.com/image/309/371/jtn9bww0/t-shirt/5/f/c/s-hm-1001-maroon-black-helmont-original-imafdfvvz65ab7vm.jpeg?q=50,www.flipkart.com/helmont-striped-men-hooded-neck-maroon-t-shirt/p/itmfdfvubqaue6jz?pid=TSHFDFTFYV33SHEK&amp;lid=LSTTSHFDFTFYV33SHEKUZRZLW&amp;marketplace=FLIPKART&amp;srno=s_1_35&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHFDFTFYV33SHEK.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,Striped Men Hooded Neck Maroon T-Shirt,
"Printed Men Hooded Neck Red, Black T-Shirt",3.77,0,0,https://rukminim1.flixcart.com/image/309/371/kd69z0w0/t-shirt/1/k/f/3xl-trd-blhdful-believer-tripr-original-imafu4yc3zxcjvu4.jpeg?q=50,www.flipkart.com/tripr-printed-men-hooded-neck-red-black-t-shirt/p/itmf1be51b7f9b0b?pid=TSHFU5FAQB3B52TB&amp;lid=LSTTSHFU5FAQB3B52TB5DIEMW&amp;marketplace=FLIPKART&amp;srno=s_1_36&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHFU5FAQB3B52TB.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,"Printed Men Hooded Neck Red, Black T-Shirt",
"Printed Men Round Neck White, Black T-Shirt",4.0,73,8,https://rukminim1.flixcart.com/image/309/371/kbs9k7k0/t-shirt/2/a/2/xl-cmb-packof3-3-smartees-original-imaft244mgpks7ta.jpeg?q=50,www.flipkart.com/smartees-printed-men-round-neck-white-black-t-shirt/p/itm65d99c9a0a96e?pid=TSHFT2FYCPZT2SC8&amp;lid=LSTTSHFT2FYCPZT2SC8IUX3MZ&amp;marketplace=FLIPKART&amp;srno=s_1_37&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHFT2FYCPZT2SC8.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,"Printed Men Round Neck White, Black T-Shirt",
Military Camouflage Men Round Neck Green T-Shirt,3.2,12,1,https://rukminim1.flixcart.com/image/309/371/kd1zngw0/t-shirt/t/p/8/l-joy-camo-rnd-half-green-joycoots-original-imafuyyuavpmdean.jpeg?q=50,www.flipkart.com/joycoots-military-camouflage-men-round-neck-green-t-shirt/p/itm9d6a7745a2393?pid=TSHFUF3NCPAMAH9H&amp;lid=LSTTSHFUF3NCPAMAH9HS51ZWY&amp;marketplace=FLIPKART&amp;srno=s_1_38&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHFUF3NCPAMAH9H.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,Military Camouflage Men Round Neck Green T-Shirt,
Typography Men Hooded Neck Red T-Shirt,4.0,20785,2805,https://rukminim1.flixcart.com/image/309/371/k30h8y80/t-shirt/u/z/s/s-shp275282-shapphr-original-imafjvg4nngzwrfw.jpeg?q=50,www.flipkart.com/kay-dee-typography-men-hooded-neck-red-t-shirt/p/itm3cc4697af4709?pid=TSHFJV5HEBPTUCUU&amp;lid=LSTTSHFJV5HEBPTUCUURPLKVQ&amp;marketplace=FLIPKART&amp;srno=s_1_39&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHFJV5HEBPTUCUU.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,Typography Men Hooded Neck Red T-Shirt,
Graphic Print Men Round Neck Blue T-Shirt,3.77,0,0,https://rukminim1.flixcart.com/image/309/371/kd4uj680/t-shirt/f/9/i/m-86290-0001-levi-s-original-imafu3qdfzzxz5ez.jpeg?q=50,www.flipkart.com/levi-s-graphic-print-men-round-neck-blue-t-shirt/p/itm9a8c264333cbe?pid=TSHFN2CUPKSZSFGD&amp;lid=LSTTSHFN2CUPKSZSFGDHTHHQY&amp;marketplace=FLIPKART&amp;srno=s_1_40&amp;otracker=search&amp;fm=organic&amp;iid=en_c6E91TE7PROo%2Fc0Gdfjxfg2JxZ3l%2FUtIFAU2FNcbt7Ytd28Nber8kAawqDrbFy1ihr6kgBu%2FTet91UhvnV7I1w%3D%3D&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,Graphic Print Men Round Neck Blue T-Shirt,
